"AMACode,Description,AMAFee,MedicareItem,ScheduleFee,",
"AA007,""PROFESSIONAL ATTENDANCE, by a GENERAL PRACTITIONER on NOT MORE THAN ONE PATIENT ON ONE OCCASION - EACH ATTENDANCE in unsociable hours if: ",
 | a) the attendance is requested by the patient or a responsible person in the same unbroken after- hours period; and ,
 | b) the patient's medical condition requires urgent assessment; and ,
" | c) if the attendance is at consulting rooms it is necessary for the practitioner to return to and specially open, the consulting rooms for the attendance."",525,599,161.75,,",
"AA010,GENERAL PRACTITIONER - MINOR SERVICE (LEVEL A) - AT CONSULTING ROOMS - A service characterised by the straightforward nature of the general practitioner's task. This service is for an obvious problem that requires a short patient history and a limited (if any) examination and management,44,,,,",
"AA020,""GENERAL PRACTITIONER - SPECIFIC SERVICE (LEVEL B) - AT CONSULTING ROOMS - involving, where clinically relevant:",
 | a) taking a history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation"",89,,,,",
"AA030,""GENERAL PRACTITIONER - EXTENDED SERVICE (LEVEL C) - AT CONSULTING ROOMS - involving, where clinically relevant:",
 | a) taking a detailed history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation"",162,,,,",
"AA040,""GENERAL PRACTITIONER - COMPREHENSIVE SERVICE (LEVEL D) - AT CONSULTING ROOMS - involving, where clinically relevant:",
 | a) taking an extensive history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation"",250,,,,",
"AA050,GENERAL PRACTITIONER - MINOR SERVICE (LEVEL A) - AT CONSULTING ROOMS - OUT-OF-HOURS - A service characterised by the straightforward nature of the general practitioner's task. This service is for an obvious problem that requires a short patient history and a limited (if any) examination and management rendered between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays,66,,,,",
"AA060,""GENERAL PRACTITIONER - SPECIFIC SERVICE (LEVEL B) - AT CONSULTING ROOMS - OUT-OF-HOURS - involving, where clinically relevant:",
 | a) taking a history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation.",
" | Performed during a service rendered between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",132,,,,",
"AA070,""GENERAL PRACTITIONER - EXTENDED SERVICE (LEVEL C) - AT CONSULTING ROOMS - OUT-OF-HOURS - involving, where clinically relevant:",
 | a) taking a detailed history;,
 | b) undertaking a clinical examination;,
 | c) arranging any necessary investigation;,
 | d) implementing a management plan;,
" | e) providing appropriate preventive health care, in relation to one or more health related issues, with appropriate documentation.",
" | Performed during a service rendered between 6.00pm and the following 8.00am on weekdays and the 24 hours between 8.00am and the following 8.00am on weekend days and public holidays"",240,,,,",
